左肺上叶纤维小结节	肺纤维结节
胆囊底部絮状物,考虑胆泥淤积	胆泥淤积
右肝内稍高回声结节,肝血管瘤？	肝血管瘤？
子宫低回声结节,考虑子宫肌瘤可能	子宫肌瘤？
左肺下叶外基底段胸膜下纤维小结节	肺纤维结节
右肺上叶小气囊	肺气囊
右肺上叶后段、双肺下叶后基底段慢性炎症	肺慢性炎症
右侧乳腺9-10点处实性结节(BI-RADS3类-乳腺纤维瘤可能)	纤维瘤乳腺结节 BI-RADS 3类
左肺上叶小结节,随访	肺结节
甲状腺双侧叶结节,其中右侧叶结节伴钙化	甲状腺结节
前纵隔结节影,胸腺瘤？淋巴结？	胸腺瘤
左乳多发无回声结节,考虑局部导管扩张	乳腺结节
双肺尖少许陈旧病灶	肺陈旧性病灶
糖类抗原125增高	糖类抗原125增高
考虑右膝关节半月板退行性改变	膝关节退行性改变
C3-4、C4-5椎间盘突出(中央型)	颈椎间盘突出
颈4-6椎体骨质增生及颈3-4椎间隙变窄	颈椎骨质增生、颈椎椎间隙变窄
子宫颈下段等回声团块,肌瘤？	子宫肌瘤
双下肺少许陈旧病灶,右肺下叶后基底段、右肺下叶外基底段纤维小结节	肺纤维结节
甲状腺左叶无回声结节,考虑囊肿	甲状腺结节
考虑右下肺前段纤维小结节	肺纤维结节
左房增大,室间隔基底段增厚	室间隔增厚、左房增大
肝右叶多发斑点状强回声(钙化灶？肝内胆管结石？)	胆管结石、肝钙化灶
双下肺纤维小结节、左上肺孤立肺大泡	肺大泡、肺纤维结节
双肺气肿、多发肺大泡	肺气肿、肺大泡
双侧乳腺低回声结节,右乳结节伴钙化	乳腺结节
扫及双上颌窦炎症	上颌窦炎
鼻双下鼻甲肥厚,粘膜充血	鼻甲肥厚
残余甲状腺左叶多发囊实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
扁桃体右侧II度肿大、脓栓	扁桃体肿大
右肺上叶、中叶内侧段、双肺下叶胸膜下散在慢性炎症性病灶	肺慢性炎症
右肺中叶少许纤维机化灶	肺纤维灶
右肺中叶少许纤维机化灶,与前片(2018-02-14)对比大致相仿	肺纤维灶
子宫峡部囊肿	子宫囊肿
提示外周血管弹性度轻-中度下降	外周血管弹性度下降
血清钙降低	血清钙降低
双上肺陈旧性结核,与前片相仿	陈旧性肺结核、肺陈旧性病灶
右肺上叶胸膜下小结节灶	肺结节
右肺上叶前段微小结节,考虑为良性病变	肺结节
甲状腺左叶低回声结节伴钙化,MT？	甲状腺MT待排
甲状腺多发低回声结节,腺瘤？	甲状腺腺瘤？
附件右附件增厚	附件增厚
双侧乳腺增生	乳腺增生
子宫略大、有凹凸不平感	子宫略大
右肺斜裂胸膜下多发粟粒样结节	肺结节
右肺上叶术后改变	右肺术后改变
甲状腺右叶小结节	甲状腺结节
甲状腺右侧叶中下部低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
考虑肝多发小囊肿、右肝小钙化灶	肝钙化灶、肝囊肿
窦性心动过缓	窦性心动过缓
C13检测提示幽门螺旋杆菌阳性	幽门螺旋杆菌阳性
甲状腺右叶高回声结节,滤泡性肿瘤？	甲状腺滤泡性肿瘤？
双侧乳腺低至无回声结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
左上肺陈旧性病灶	肺陈旧性病灶
左下肺良性结节	肺结节
甲状腺实质回声增粗伴右叶混合回声结节,考虑结节性甲状腺肿	甲状腺回声增粗
低切还原粘度增高	低切还原粘度增高
双侧筛窦、右蝶窦慢性炎症	鼻窦炎
右肺门及纵隔淋巴结钙化	纵隔淋巴结钙化、肺淋巴结钙化
子宫壁强回声,考虑钙化灶	子宫钙化灶
外阴外阴潮红	外阴潮红
腰椎轻度骨质增生、L4/5椎间盘轻度膨出	腰椎骨质增生
ST-T波改变(II、III、aVF、V4、V5、V6)	ST-T改变
右侧腋窝多发实性结节,考虑增生反应性淋巴结	腋窝淋巴结反应性增生
大脑中线后部脂肪瘤	脂肪瘤
右上中肺纤维化、钙化	肺纤维化
肝右叶稍高回声结节,倾向良性,血管瘤？	肝血管瘤？
甲状腺右侧叶低回声结节	甲状腺结节
甲状腺左侧叶混合回声结节伴多发钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左肺及右肺中下叶散在慢性炎症,部分纤维机化	肺慢性炎症
左肾高回声结节	肾结节
右侧乳腺低回声结节,考虑增生结节	乳腺增生
左肾未探及(自述已切除)	肾囊肿
颈椎功能性改变及颈4-5椎间隙稍变窄	颈椎功能性改变
肝右叶多发低回声区,肝脂肪低浸润？	局灶性脂肪肝
肝左叶内高回声结节	肝结节
颏下淋巴结可见	颏下淋巴结可见
右肾多发结石伴积水	肾积水、肾结石
右肺上叶、左肺下叶慢性炎症	肺慢性炎症
甲状腺左叶下极等回声结节,考虑腺瘤	甲状腺腺瘤
右下肺肺大泡	肺大泡
左乳低回声结节,考虑纤维腺瘤	乳腺纤维瘤？、乳腺结节
双肾囊肿(左肾多发,部分囊壁伴钙化)	肾囊肿
肌酸激酶同工酶增高	肌酸激酶同工酶增高
左肾缺如	肾囊肿
考虑左上肺陈旧性结核灶	陈旧性肺结核、肺陈旧性病灶
左肝稍低回声结节(血管瘤?)	肝血管瘤
双肾轻度积水	肾积水
右侧颈动脉硬化	动脉硬化
环池左前部蛛网膜囊肿可能	蛛网膜囊肿
甲状腺弥漫性增大伴实质回声增粗,考虑桥本氏甲状腺炎改变	甲状腺回声增粗
右肺中叶内侧段及左肺上叶舌段慢性炎症	肺慢性炎症
甲状腺右侧叶低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
右侧精囊腺囊肿伴囊壁钙化	精囊腺囊肿
右侧侧脑室前角旁脑白质腔隙性脑梗塞	脑梗塞
右侧乳腺多发低回声结节,考虑占位性病变	乳腺占位性病变
甲状腺左叶混合回声结节	甲状腺结节
甲状腺右侧叶下极低回声结节,血流信号丰富,TI-RADS4A	甲状腺结节 TI-RADS 4a类
双侧乳腺多发小结节,增生结节？	乳腺增生
两上肺少许肺大泡	肺大泡
双肾锥体边缘回声增强,海绵肾？	海绵肾
右肺上叶实性结节	肺结节
疝右腹股沟直疝	腹股沟直疝
AFU(血清岩藻糖苷酶)增高	AFU(血清岩藻糖苷酶)增高
甲状腺峡部增厚,实质回声增粗、欠均匀	甲状腺回声增粗
右肺散在数个纯磨玻璃结节	肺磨玻璃结节
分泌物色白、泡沫状	阴道分泌物异常
甲状腺多发无回声结节,考虑滤泡增生	甲状腺结节
甲状腺增大伴实质回声明显增粗	甲状腺回声增粗
角膜双眼角膜斑翳	角膜斑翳
右肺肺气肿,右中上肺肺大泡	肺气肿、肺大泡
考虑右上肺、左下肺纤维小结节	肺纤维结节
免散瞳眼底照相双眼视网膜动脉硬化1级	动脉硬化
甲状腺右叶及峡部切除术后	甲状腺切除术后
甲状腺缩小,实质回声增粗	甲状腺回声增粗
偶发房性早搏伴心室内差异性传导	房性早搏
左侧乳腺低回声区,增生结节？	乳腺增生
膀胱不充盈,自愿放弃膀胱、前列腺检查	膀胱不充盈,放弃部分检查
嗜酸性粒细胞百分比降低	嗜酸性粒细胞百分比降低
眼睑麦粒肿	麦粒肿
双额叶轻度脑萎缩改变	脑萎缩
右上肺小磨玻璃结节,右上肺及左下肺纤维小结节	肺磨玻璃结节
双肾偏小	肾囊肿
左肺上下叶少许慢性炎症病灶	肺慢性炎症
频发室性早搏(呈间位性)	室性早搏
甲状腺右叶多发实性结节伴钙化(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
颈4-6椎体轻度骨质增生及项韧带、前纵韧带局部钙化	骨质增生
双侧颈动脉硬化伴右侧窦部斑块形成	动脉硬化
子宫等回声结节,考虑子宫肌瘤可能	子宫肌瘤？
左侧附件区无回声区,考虑生理性囊肿可能	卵巢生理性囊肿？
右上肺胸膜、右肺斜裂胸膜局限性增厚(慢性炎症所致)	胸膜增厚
左上肺舌段少许纤维机化灶	肺纤维灶
右下肺支气管扩张	支气管扩张
HPV44阳性	HPV44阳性
甲状腺峡部左侧偏低回声结节	甲状腺结节
双肺多发磨玻璃小结节	肺磨玻璃结节
肝右叶低回声结节,考虑良性病变可能性大,血管瘤？不均匀性脂肪肝？	不均匀性脂肪肝、肝血管瘤？
左肝小囊肿可能	肝囊肿
左上肺陈旧性病灶与前片相仿	肺陈旧性病灶
颈椎退行性变,颈椎反弓,颈3-4、4-5椎间盘变性	颈椎椎间盘变性、颈椎退行性改变
肝弥漫性病变、脾肿大,考虑肝硬化可能	肝硬化
糖类抗原242增高	糖类抗原242增高
前列腺增大伴囊肿	前列腺囊肿
考虑右上肺及右下肺背段陈旧结核灶	肺结核、肺陈旧性病灶
甲状腺左叶低回声结节	甲状腺结节
左侧附件区无回声区,考虑卵巢巧克力样囊肿	卵巢巧克力样囊肿
左侧乳腺低至无回声区,考虑局部导管扩张	乳腺导管扩张
L4/5、L5/S1椎间盘膨出	腰椎间盘膨出
右上肺及左肺下舌段少许纤维机化灶	肺纤维灶
双肺多发斑片、结节病灶,多考虑炎症	肺结节
左侧腹手检肿物处皮下高回声结节,考虑脂肪瘤	脂肪瘤
甲状腺左侧叶下极实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右肺上叶尖段结节、相邻胸膜增厚,炎症性病变可能	胸膜增厚、肺结节
左上下肺小结节	肺结节
甲状腺多发囊实性结节,左叶其一结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
鼻变应性鼻炎、左中鼻甲肥厚	变应性鼻炎
左上肺及右下肺实性小结节	肺结节
甲状腺实质回声增粗伴多发低回声结节	甲状腺回声增粗
耳左侧耳鸣	耳鸣
甲状腺左叶实性结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左肺下叶后基底段磨玻璃小结节	肺磨玻璃结节
考虑右下肺背段炎症	肺炎性改变
右肺中叶及左肺下舌段、双下肺少许纤维机化灶	肺纤维灶
甲状腺多发低回声及混合回声结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
甲状腺右叶上部低回声结节,TI-RADS4A	甲状腺结节 TI-RADS 4a类
甲状腺左侧叶稍高回声结节	甲状腺结节
分泌物脓性	阴道分泌物异常
前列腺稍增大	前列腺增大
钾降低	钾降低
C肽降低	C肽降低
右肺上叶前段钙化灶	肺钙化灶
左肺尖、右肺中下叶少许纤维机化灶,与前片(2017-02-28)对比大致相仿	肺纤维灶
双侧基底节区、胼胝体膝部左侧多发腔隙性脑梗塞	脑梗塞
右肺中叶斜裂胸膜下磨玻璃影,慢性炎症可能	肺磨玻璃结节
左上颌窦炎症	上颌窦炎
扫及胆囊多发结石	胆囊结石
子宫右旁低回声结节伴斑状强回声,子宫浆膜下肌瘤伴钙化？增大分布不均匀的右卵巢？	子宫肌瘤
您目前血糖代谢病变风险较低,但在将来几年中有糖尿病风险增加的可能,了解糖尿病发病和预防知识将有助于您达到防范目标。建议定期检查。	糖尿病糖尿病
双肺胸膜增厚粘连	胸膜增厚
肝脏低密度影	肝低密度影
C3/4、C4/5椎间盘膨出	腰椎间盘膨出
双侧胸腔少量积液	胸腔积液
大脑白质区多发缺血灶	脑缺血灶
盆腔囊肿	盆腔囊肿
右侧外周血管弹性度中度下降	外周血管弹性度下降
右肝内低回声结节,考虑肝血管瘤	肝血管瘤
左下胸膜肥厚粘连,与前片相仿	胸膜粘连
L3-4、L4-5椎间盘膨隆,L5-S1椎间盘突出	腰椎间盘突出
颈4-6椎体骨质增生及相应椎间隙轻度变窄	骨质增生
右肾低回声区,肾柱肥大？	肾柱肥大？
右侧上颌窦、筛窦炎症	筛窦炎
左肺上叶舌段、左肺下叶后基底段慢性炎症	肺慢性炎症
左侧半卵圆中心腔隙性脑梗塞灶	脑梗塞
双肺慢性炎症,双肺肺气肿并多发肺大泡,双侧胸膜增厚、粘连	肺气肿、肺大泡、胸膜增厚
右肺中上叶纤维结节	肺纤维结节
左上肺结节状钙化灶	肺结节
肝多发低回声区,局灶性肝脂肪浸润缺失？肝血管瘤？	肝血管瘤？
子宫内膜区多发高回声结节,子宫内膜息肉？	子宫内膜息肉？
双肺微小结节,右肺中叶及左肺散在慢性炎症,较2018-2-5片肺内结节相仿,左肺慢性病灶有增多	肺结节
右侧筛窦炎症	筛窦炎
多发性肝左叶囊肿	肝囊肿
室间隔稍增厚	室间隔增厚
右肺上叶、中叶内侧段、左肺上叶舌段慢性炎症	肺慢性炎症
右侧额叶深部及左侧脑室前角旁脱髓鞘病变或小缺血灶	脑缺血灶
甲状腺右侧叶多发实性、囊实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
膀胱不充盈,放弃检查膀胱、子宫、双侧附件	膀胱不充盈
C4椎体结节状致密影,考虑为骨岛	骨岛
右侧肾上腺结节状低密度影	肾上腺结节
左肾未探及(自诉已切除)	肾囊肿
一度房室阻滞	一度房室阻滞
甲状腺左叶多发囊性结节	甲状腺结节
甲状腺多发低回声结节,右叶大者结节伴钙化	甲状腺结节
二尖瓣、三尖瓣及肺动脉瓣轻度反流	二尖瓣反流、三尖瓣反流、肺动脉瓣反流
听力右侧耳聋、左侧减退	耳聋
左下肺病灶,考虑慢性炎症可能性大	肺慢性炎症
肝内胆囊旁多发低回声区,考虑良性病变	肝良性病变
老年性肺部改变、右上肺少许陈旧病灶、右下肺肋膈角区钙化点	肺陈旧性病灶
鼻中隔轻度偏曲	鼻中隔轻度偏曲、鼻中隔偏曲
双侧乳腺低回声结节（右乳多发）,考虑增生结节	乳腺增生
内科既往史桥本氏甲状腺炎、甲减	桥本甲状腺炎
右耳后腮腺区低回声结节,考虑耳后淋巴结可见	耳后淋巴结可见
右肺中叶、左肺上叶舌段、双肺下叶慢性炎症	肺慢性炎症
子宫多发结节,考虑子宫肌瘤	子宫肌瘤？
主动脉硬化伴主动脉瓣返流+	动脉硬化、主动脉瓣返流主伴+
胰尾部无回声区,考虑囊肿	胰腺囊肿
自诉甲状腺切除术后	甲状腺切除术后
尿潜血1+	尿潜血1+
颈椎退行性变,C3/4、C4/5、C5/6、C6/7椎间盘向后方突出	颈椎间盘突出、颈椎退行性改变
左额叶小缺血灶	脑缺血灶
左侧颈部淋巴结肿大	淋巴结肿大
右侧水平裂胸膜局限性稍增厚	胸膜增厚
右肺上中叶、左肺下叶散在慢性炎症病灶	肺慢性炎症
甲状腺右叶中下部背侧低回声结节	甲状腺结节
甲状腺左叶低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
考虑左锁骨陈旧性骨折	骨折
右上肺及左下肺多发纤维小结节	肺纤维结节
甲状腺右叶下极实性结节(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
双肾实质回声增强、双肾轻度积水	肾积水
左下肺、右上肺结节	肺结节
双肺尖胸膜粘连	胸膜粘连
考虑右中、下肺纤维小结节	肺纤维结节
左侧后组筛窦炎症	筛窦炎
右侧腹股沟处混合性包块,考虑直疝	腹股沟直疝
主动脉瓣返流++	主动脉瓣返流
双侧乳腺多发低回声结节,左乳较大者考虑纤维腺瘤	乳腺纤维瘤
腰椎退行性改变,L2/3、L3/4椎间盘轻度膨出	腰椎间盘膨出
甲状腺左叶低回声结节伴钙化,TI-RADS4A	甲状腺结节 TI-RADS 4a类
颈椎退行性变,C4/5、C5/6、C6/7椎间盘轻微突出	颈椎间盘突出、颈椎退行性改变
双上肺肺大泡形成	肺大泡
淋巴细胞计数增高	淋巴细胞计数增高
主动脉瓣、二尖瓣、三尖瓣中度反流	二尖瓣反流、三尖瓣反流、主动脉瓣反流
子宫增大子宫如1+个月妊娠,触及不规则突起	子宫增大
双侧基底节区多发腔隙性脑梗塞	脑梗塞
考虑颈椎退行性改变	颈椎退行性改变
甲状腺左侧叶混合回声结节	甲状腺结节
双肾高回声结节,考虑肾错构瘤	肾错构瘤
肝多发低回声结节,肝多发血管瘤？不均质脂肪肝？	脂肪肝
C3-4、C4-5、C5-6椎间盘突出(中央型)	颈椎间盘突出
甲状腺右叶背侧低回声结节,考虑甲状旁腺结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
双侧额顶叶及放射冠区多发缺血灶	脑缺血灶
考虑双上肺纤维小结节	肺纤维结节
右肾肾柱肥大？	肾柱肥大？
左侧侧脑室后角旁白质区内占位,考虑海绵状血管瘤	肝血管瘤
左肾异位肾	异位肾
C3-4、C6-7椎间盘膨出,C4-5、C5-6椎间盘突出(中央型)	颈椎间盘突出
扫及不均质脂肪肝	脂肪肝
右肺斑片状密度增高影,考虑慢性炎症	肺慢性炎症
左肺上叶下舌段及右肺下叶少许慢性炎症	肺慢性炎症
考虑肝内多发小囊肿	肝囊肿
肝内高回声结节,肝血管瘤？	肝血管瘤？
外科既往史腰椎间盘突出术后	腰椎间盘突出术后
右肾多发高回声结节,考虑肾错构瘤	肾错构瘤？
双侧颈动脉内-中膜增厚伴斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
C4-5、C5-6椎间盘膨出并C4-5椎管狭窄	腰椎间盘膨出
左侧乳腺低回声结节伴钙化(BI-RADS4A类)	乳腺结节 BI-RADS 4A类
考虑双上肺纤维小结节、少许陈旧病灶	肺纤维结节、肺纤维灶、肺陈旧性病灶
胆囊多发稍强回声,胆囊结石？胆囊息肉？	胆囊结石？、胆囊息肉
子宫增大	子宫增大
甲状腺多发结节,右叶近峡部结节伴钙化	甲状腺结节
双肺散在肺气肿,伴多大肺大泡形成	肺气肿、肺大泡
乙肝核心抗体定量增高	乙肝核心抗体定量增高
偶发多形室性早搏	室性早搏
自诉前列腺部分切除术后	前列腺部分切除术后
右肺上叶多发拟良性的小结节	肺结节
左上肺少许陈旧病灶与前片相仿	肺陈旧性病灶
鼻左下鼻甲肥厚	鼻甲肥厚
双肺慢性炎症,以陈旧性病灶为主,较前(2016-10-28)大致相仿	肺炎、肺陈旧性病灶
甲状腺部分切除术后,右颈前甲状腺区低回声区,考虑残余右侧叶甲状腺	甲状腺切除术后
左下肺硬结钙化灶	肺部钙化灶
甲状腺左叶多发实性结节伴钙化(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
甲状腺体积增大伴实质回声增粗、不均匀,血流较丰富	甲状腺回声增粗
主动脉、双侧冠状动脉粥样硬化。冠状动脉内置支架术后改变	动脉粥样硬化、冠状动脉支架术后
考虑左肺下舌段慢性炎症	肺慢性炎症
右肺下叶外基段小结节	肺结节
右肺上叶前段磨玻璃影,考虑炎症所致	肺磨玻璃结节
三尖瓣轻度反流,估测肺动脉收缩压32MMHG	三尖瓣反流
右侧乳腺无回声区,考虑囊性增生	乳腺囊性增生
肌酐增高	肌酐增高
阵发房性心动过速(左房)	房性心动过速
考虑慢性支气管炎、左下肺小钙化灶	慢性支气管炎
左肾稍高回声结节,错构瘤？	肾错构瘤？
左肾实质弥漫性改变	肾囊肿
L3/4椎间盘膨出	腰椎间盘膨出
提示外周血管弹性度重度下降	外周血管弹性度下降
左肾囊肿伴囊璧钙化	肾囊肿
右肺上叶前段胸膜下不规则病灶并钙化,结合临床进一步检查	肺钙化
双侧颈动脉内-中膜毛糙伴左侧颈内动脉斑块形成	颈动脉斑块形成
咽部肥厚性慢性咽炎、咽后壁充血	咽炎
右下肺背段结节样病灶,考虑炎性病变可能性大	肺结节
子宫稍高回声结节,考虑子宫肌瘤	子宫肌瘤？
双肺慢性炎症,右侧斜裂胸膜增厚	胸膜增厚
子宫多发低回声结节或团块,考虑子宫肌瘤	子宫肌瘤？
L4/5、L5/S1椎间盘变性、膨出	腰椎间盘变性、腰椎间盘膨出
左侧附件区无回声区,卵巢囊肿？术后积液？	卵巢囊肿
右膝外侧前角半月板II度损伤	半月板损伤
右肺中叶内侧段少许纤维机化灶	肺纤维灶
双额叶多发缺血灶	脑缺血灶
残余左侧乳腺及右侧乳腺(BI-RADS1类)	乳腺 BI-RADS 1类
双侧乳腺多发低回声结节,增生结节？	乳腺增生
子宫腺肌增生症伴腺肌瘤可能	子宫肌瘤？
左肺上叶前段磨玻璃小结节	肺磨玻璃结节
双侧乳腺无回声区(左乳多发)	乳腺无回声区
右肺下叶前基底段少许支气管扩张	支气管扩张
右上肺纤维小结节与前片相仿	肺纤维结节
甲状腺多发结节,考虑结节性甲状腺肿,其中部分伴钙化结节MT可能	结节性甲状腺肿？
左侧颈部低回声结节,考虑增生反应性淋巴结	颈部淋巴结反应性增生
子宫低至无回声结节,子宫肌瘤？潴留囊肿？	子宫肌瘤
双肺余部少许慢性炎症,部分机化、钙化	肺慢性炎症
偶发室性早搏,偶呈一过性二联律	室性早搏
腰椎退行性变,L3-5椎体缘终板炎	腰椎退行性变
双肾实质内稍高回声结节(右肾多发),肾错构瘤？	肾错构瘤？
双肺尖少许陈旧性病灶	肺陈旧性病灶
频发多源室性早搏	室性早搏
符合鼻炎、双侧筛窦、上颌窦、蝶窦炎症。双侧乳突炎症	鼻炎、筛窦炎、上颌窦炎、蝶窦炎、乳突炎
考虑双侧脑室后角旁脑白质缺血灶	脑缺血灶
右肾实质内高回声结节,肾错构瘤？	肾错构瘤？
右肾偏小	肾偏小
肝右叶低密度灶	肝低密度灶
外科既往史卵巢囊肿切除术	卵巢囊肿
三尖瓣返流+、主动脉瓣返流+	三尖瓣返流、主动脉瓣返流
腰4/5、腰5/骶1椎间盘膨出	腰椎间盘膨出
右侧耳后软组织低回声结节,考虑皮脂腺囊肿	皮脂腺囊肿
L3-4椎间盘膨出	腰椎间盘膨出
双附件右侧附件区增厚感、无压痛	附件区增厚
左侧乳腺低回声结节,双侧乳腺增生	乳腺增生
考虑左肺少许硬结灶及纤维化	肺硬结灶？肺纤维化
右肺上叶间隔旁型肺气肿	肺气肿
频发房性早搏,几乎全呈三联律	房性早搏
双侧乳腺低回声结节(右乳多发),大者纤维腺瘤？	乳腺纤维瘤？
双肺陈旧性肺结核伴右侧胸膜增厚钙化,较2017-04-19片相仿	胸膜增厚、肺结核、肺陈旧性病灶
甲状腺实质回声稍增粗、分布不均	甲状腺回声增粗
右侧颈动脉内-中膜增厚伴右侧颈总动脉斑块形成	颈动脉内-中膜增厚、颈动脉斑块形成
二尖瓣返流+,主动脉瓣返流+,三尖瓣返流+	二尖瓣反流、三尖瓣反流、主动脉瓣反流
双侧肺气肿,伴右肺尖巨大肺大泡形成	肺气肿、肺大泡
左肺下叶外基段支气管扩张	支气管扩张
L2/3、L3/4、L4/5椎间盘突出	腰椎间盘突出
甲状腺体积增大,实质回声减低、增粗,分布欠均匀	甲状腺回声增粗
子宫增大约妊娠3个多月大小,质地硬,无压痛	子宫增大
甲状腺左叶多发结节,考虑结节性甲状腺肿	结节性甲状腺肿
胆囊后壁稍高回声斑,息肉？泥沙样结石？	胆囊息肉？、胆囊泥沙样结石？
左侧上颌窦囊肿,双侧筛窦慢性炎症	上颌窦囊肿
符合颈椎病X线改变	颈椎病
甲状腺多发低至无回声结节,考虑滤泡增生	甲状腺结节
淋巴细胞百分比降低	淋巴细胞百分比降低
右肺上叶前段、右肺中叶内侧段慢性炎症,较前大致相仿	肺慢性炎症
双肺尖多发肺大泡形成	肺大泡
子宫多发低回声结节(考虑子宫肌瘤)	子宫肌瘤？
左肾高回声结节,错构瘤？	肾错构瘤？
右乳外上象限小斑片影,较前片有缩小考虑结节状增生(BI-RADS2)	乳腺增生
甲状腺多发实性结节(TI-RADS3类-左侧大者伴钙化)	甲状腺结节 TI-RADS 3类
右上肺占位病灶,考虑肿瘤可能性大	肺肿瘤待排
颈椎轻度退行性变	颈椎退行性改变
司帕沙星增高	司帕沙星增高
甲状腺右叶下极多发实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右中下肺及左下肺少许陈旧性病灶	肺陈旧性病灶
左侧颈外动脉多发斑块形成	颈动脉斑块
双肺上叶继发性肺结核(硬结、钙化为主)	继发型肺结核
二尖瓣微量反流,三尖瓣轻度反流	二尖瓣反流、三尖瓣反流
右肺下叶外基底段玻璃小结节	肺结节
甲状腺左叶低回声结节,考虑腺瘤	甲状腺腺瘤
肝多发稍高回声结节	肝结节
考虑右下肺背段炎性病灶	肺炎性改变
右肾肾窦低回声区,考虑肾柱肥大	肾柱肥大
子宫多发结节,考虑多发性子宫肌瘤(大者伴钙化)	子宫肌瘤
外科既往史右卵巢囊肿剥离术后(微创)	卵巢囊肿
双侧乳腺无回声区(BI-RADS2类)	乳腺无回声区 BI-RADS 2类
右肺中叶外段局限性支气管扩张、右肺上叶少许陈旧病灶。(同2017.08.11旧片比较情况相仿)	支气管扩张、肺陈旧性病灶
分泌物豆渣样	阴道分泌物异常
甲状腺实质回声增粗、不均	甲状腺回声增粗
右肝低回声区,不均匀性脂肪肝？血管瘤？	不均匀性脂肪肝
宫内高回声结节,子宫内膜息肉？	子宫内膜息肉？
盆腔条索状等回声区,考虑幼稚子宫	幼稚子宫
左肝低回声结节,血管瘤？不均匀脂肪肝？	脂肪肝
甲状腺右侧叶低回声结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
左乳腺外上象限乳晕旁及右乳腺外上象限约10点钟处低回声结节,考虑增生结节	乳腺增生
多发性右肾囊肿,其一囊肿伴囊壁钙化	肾囊肿
右肺中叶少许斑点结节及索条影,考虑慢性炎症伴部分纤维机化,随访	肺结节
甲状腺双侧叶结节,ACRTI-RADS3类	甲状腺结节 TI-RADS 3类
右上肺少许硬结钙化灶	肺钙化灶
左肾轻度积水	肾积水
左肺上叶舌段及右肺上中叶少许纤维机化灶	肺纤维灶
双肺少许肺大泡	肺大泡
